request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Full payment of IDR 15656000 today on 2025-08-03. Maintains minimum balance requirement of IDR 24768300.00 (forecast safety margin is IDR 61605946.09).
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Full payment of ZAR 6670 today on 2026-07-05. Maintains minimum balance requirement of ZAR 20500.00 (forecast safety margin is ZAR 19754.68).
request_28,249.45,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1302.4 request by desired completion date 2024-08-15. Although safe amount today is EUR 249.45, full payment cannot be safely completed without breaching the minimum balance requirement of EUR 1100.00."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Full payment of ZAR 51524 today on 2025-11-04. Maintains minimum balance requirement of ZAR 28300.00 (forecast safety margin is ZAR 70776.67).
request_30,775.2,affordable_with_plan,installments,2026-04-06:775.2,2026-04-06,none,Payment option payment_option_84: 1 installments of USD 775.2 starting 2026-04-06 totaling USD 775.2. Maintains balance above minimum requirement USD 900.00.
request_31,4060556.15,affordable_later,wait,none,2024-11-15,none,Wait until 2024-11-15 to pay IDR 18164000 in full. Paying before 2024-11-15 would breach the IDR 16588900.00 minimum balance requirement.
request_32,16158.21,affordable_later,wait,none,2025-03-15,none,Wait until 2025-03-15 to pay ZAR 40018 in full. Paying before 2025-03-15 would breach the ZAR 35700.00 minimum balance requirement.
request_33,41619.53,affordable_later,wait,none,2026-02-15,none,Wait until 2026-02-15 to pay INR 118000 in full. Paying before 2026-02-15 would breach the INR 102100.00 minimum balance requirement.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Full payment of INR 129400 today on 2024-12-04. Maintains minimum balance requirement of INR 138500.00 (forecast safety margin is INR 406387.10).
request_35,24547.34,affordable_later,wait,none,2026-01-15,none,Wait until 2026-01-15 to pay INR 212000 in full. Paying before 2026-01-15 would breach the INR 106400.00 minimum balance requirement.
request_36,554.38,affordable_later,wait,none,2026-09-15,none,Wait until 2026-09-15 to pay USD 3954 in full. Paying before 2026-09-15 would breach the USD 2400.00 minimum balance requirement.
request_37,4727072.36,affordable_later,wait,none,2024-05-15,none,Wait until 2024-05-15 to pay IDR 14649000 in full. Paying before 2024-05-15 would breach the IDR 17056200.00 minimum balance requirement.
request_38,225.42,affordable_later,wait,none,2025-09-15,none,Wait until 2025-09-15 to pay EUR 971.3 in full. Paying before 2025-09-15 would breach the EUR 400.00 minimum balance requirement.
request_39,72897.94,affordable_later,wait,none,2026-05-15,none,Wait until 2026-05-15 to pay INR 208600 in full. Paying before 2026-05-15 would breach the INR 213400.00 minimum balance requirement.
request_40,325.7,affordable_later,wait,none,2024-08-15,none,Wait until 2024-08-15 to pay EUR 1290.3 in full. Paying before 2024-08-15 would breach the EUR 1500.00 minimum balance requirement.
request_41,12930131.17,affordable_later,wait,none,2025-12-15,none,Wait until 2025-12-15 to pay IDR 38760000 in full. Paying before 2025-12-15 would breach the IDR 25366600.00 minimum balance requirement.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Full payment of INR 52100 today on 2026-01-05. Maintains minimum balance requirement of INR 113100.00 (forecast safety margin is INR 113250.41).
request_43,8405276.67,affordable_later,wait,none,2024-11-15,none,Wait until 2024-11-15 to pay IDR 43339000 in full. Paying before 2024-11-15 would breach the IDR 21398000.00 minimum balance requirement.
request_44,30501.26,affordable_later,wait,none,2025-04-15,none,Wait until 2025-04-15 to pay INR 95800 in full. Paying before 2025-04-15 would breach the INR 82900.00 minimum balance requirement.
request_45,4025332.31,affordable_later,wait,none,2026-08-15,none,Wait until 2026-08-15 to pay IDR 21983000 in full. Paying before 2026-08-15 would breach the IDR 11149800.00 minimum balance requirement.
request_46,31986.08,affordable_with_plan,partial_payment,2024-12-03:31986.08|2024-12-15:17463.92,2024-12-15,none,Partial payment plan: Pay safe amount INR 31986.08 today on 2024-12-03 and remaining INR 17463.92 on 2024-12-15. Completes full requested INR 49450 by desired completion date 2025-01-09 while protecting INR 84000.00 minimum.
request_47,16734698.88,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 38114000 request by desired completion date 2025-06-19. Although safe amount today is IDR 16734698.88, full payment cannot be safely completed without breaching the minimum balance requirement of IDR 30049000.00."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Full payment of INR 45700 today on 2026-07-25. Maintains minimum balance requirement of INR 71300.00 (forecast safety margin is INR 73153.98).
request_49,13212166.87,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 34333000 request by desired completion date 2024-05-22. Although safe amount today is IDR 13212166.87, full payment cannot be safely completed without breaching the minimum balance requirement of IDR 20275700.00."
